Date,Forecasted value,Pseudonym,Actual value,Absolute Error
02/02/2026,76.77,Quasar,0,76.77
02/02/2026,58.78,Dodona,0,58.78
02/02/2026,68.52,Persistence,0,68.52
02/02/2026,66.52,Didyma,0,66.52
02/02/2026,42.92,Electricity Maps Model DE_price_day_ahead,0,42.92
02/03/2026,56.35,Quasar,57.73,1.38
02/03/2026,68.52,Dodona,57.73,10.79
02/03/2026,78.23,Didyma,57.73,20.50
02/03/2026,47.83,Electricity Maps Model DE_price_day_ahead,57.73,9.90
02/04/2026,57.51,Quasar,64.85,7.34
02/04/2026,57.73,Persistence,64.85,7.12
02/04/2026,67.17,Didyma,64.85,2.32
02/04/2026,57.73,Dodona,64.85,7.12
02/04/2026,65.33,Electricity Maps Model DE_price_day_ahead,64.85,0.48
02/05/2026,54.97,Quasar,51.29,3.68
02/05/2026,64.85,Persistence,51.29,13.56
02/05/2026,61.29,Dodona,51.29,10.00
02/05/2026,62.00,Didyma,51.29,10.71
02/05/2026,51.78,Electricity Maps Model DE_price_day_ahead,51.29,0.49
02/06/2026,48.11,Quasar,50.47,2.36
02/06/2026,56.09,Didyma,50.47,5.62
02/06/2026,58.07,Dodona,50.47,7.60
02/06/2026,51.29,Persistence,50.47,0.82
02/06/2026,45.96,Electricity Maps Model DE_price_day_ahead,50.47,4.51
02/07/2026,58.81,Quasar,43.73,15.08
02/07/2026,50.88,Dodona,43.73,7.15
02/07/2026,50.26,Didyma,43.73,6.53
02/07/2026,50.47,Persistence,43.73,6.74
02/07/2026,39.60,Electricity Maps Model DE_price_day_ahead,43.73,4.13
02/08/2026,72.53,Quasar,151.35,78.82
02/08/2026,47.10,Dodona,151.35,104.25
02/08/2026,43.73,Persistence,151.35,107.62
02/08/2026,54.24,Didyma,151.35,97.11
02/08/2026,53.59,Electricity Maps Model DE_price_day_ahead,151.35,97.76
02/09/2026,73.82,Quasar,56.84,16.98
02/09/2026,151.35,Persistence,56.84,94.51
02/09/2026,97.54,Dodona,56.84,40.70
02/09/2026,97.54,Didyma,56.84,40.70
02/09/2026,43.64,Electricity Maps Model DE_price_day_ahead,56.84,13.20
02/10/2026,60.68,Quasar,52.3,8.38
02/10/2026,88.64,Didyma,52.3,36.34
02/10/2026,56.84,Persistence,52.3,4.54
02/10/2026,104.10,Dodona,52.3,51.80
02/10/2026,75.67,Electricity Maps Model DE_price_day_ahead,52.3,23.37
02/11/2026,55.61,Quasar,50.05,5.56
02/11/2026,52.30,Persistence,50.05,2.25
02/11/2026,58.00,Didyma,50.05,7.95
02/11/2026,54.57,Dodona,50.05,4.52
02/11/2026,62.03,Electricity Maps Model DE_price_day_ahead,50.05,11.98
02/12/2026,44.33,Quasar,63.45,19.12
02/12/2026,50.05,Persistence,63.45,13.40
02/12/2026,51.21,Didyma,63.45,12.24
02/12/2026,51.18,Dodona,63.45,12.27
02/12/2026,89.12,Electricity Maps Model DE_price_day_ahead,63.45,25.67
02/13/2026,41.12,Quasar,0,41.12
02/13/2026,54.66,Didyma,0,54.66
02/13/2026,63.45,Persistence,0,63.45
02/13/2026,56.75,Dodona,0,56.75
02/13/2026,43.08,Electricity Maps Model DE_price_day_ahead,0,43.08
02/14/2026,48.90,Quasar,0,48.90
02/14/2026,63.45,Dodona,0,63.45
02/14/2026,53.59,Didyma,0,53.59
02/14/2026,41.07,Electricity Maps Model DE_price_day_ahead,0,41.07
02/15/2026,49.40,Quasar,0,49.40
02/15/2026,#DIV/0!,Dodona,0,
02/15/2026,151.35,Didyma,0,151.35
02/15/2026,72.88,Electricity Maps Model DE_price_day_ahead,0,72.88
