Date,Forecasted value,Pseudonym,Actual value,Absolute Error
01/19/2026,98.74,Quasar,260.71,161.97
01/19/2026,36.13,oraclegenesis,260.71,224.58
01/19/2026,#DIV/0!,Dodona,260.71,
01/19/2026,79.98,Didyma,260.71,180.73
01/19/2026,132.06,Electricity Maps Model DE_price_day_ahead,260.71,128.65
01/20/2026,43.63,oraclegenesis,103.88,60.25
01/20/2026,260.71,Persistence,103.88,156.83
01/20/2026,260.71,Dodona,103.88,156.83
01/20/2026,201.15,Didyma,103.88,97.27
01/20/2026,77.74,Electricity Maps Model DE_price_day_ahead,103.88,26.14
01/21/2026,58.75,Quasar,65.92,7.17
01/21/2026,29.29,oraclegenesis,65.92,36.63
01/21/2026,182.30,Dodona,65.92,116.38
01/21/2026,103.88,Persistence,65.92,37.96
01/21/2026,150.30,Didyma,65.92,84.38
01/21/2026,53.95,Electricity Maps Model DE_price_day_ahead,65.92,11.97
01/22/2026,38.06,Quasar,68.24,30.18
01/22/2026,104.34,Didyma,68.24,36.10
01/22/2026,84.90,Dodona,68.24,16.66
01/22/2026,65.92,Persistence,68.24,2.32
01/22/2026,62.57,Electricity Maps Model DE_price_day_ahead,68.24,5.67
01/23/2026,49.81,Quasar,54.25,4.44
01/23/2026,62.55,Didyma,54.25,8.30
01/23/2026,67.08,Dodona,54.25,12.83
01/23/2026,68.24,Persistence,54.25,13.99
01/23/2026,47.88,Electricity Maps Model DE_price_day_ahead,54.25,6.37
01/24/2026,64.62,Quasar,40.34,24.28
01/24/2026,54.25,Persistence,40.34,13.91
01/24/2026,61.25,Dodona,40.34,20.91
01/24/2026,61.25,Didyma,40.34,20.91
01/24/2026,27.50,Electricity Maps Model DE_price_day_ahead,40.34,12.84
01/25/2026,100.58,Quasar,106.39,5.81
01/25/2026,40.34,Persistence,106.39,66.05
01/25/2026,47.30,Didyma,106.39,59.09
01/25/2026,47.30,Dodona,106.39,59.09
01/25/2026,77.62,Electricity Maps Model DE_price_day_ahead,106.39,28.77
01/26/2026,72.55,Quasar,82.01,9.46
01/26/2026,135.81,Didyma,82.01,53.80
01/26/2026,73.37,Dodona,82.01,8.64
01/26/2026,106.39,Persistence,82.01,24.38
01/26/2026,105.40,Electricity Maps Model DE_price_day_ahead,82.01,23.39
01/27/2026,73.20,Quasar,87.94,14.74
01/27/2026,94.20,Dodona,87.94,6.26
01/27/2026,97.43,Didyma,87.94,9.49
01/27/2026,82.01,Persistence,87.94,5.93
01/27/2026,75.26,Electricity Maps Model DE_price_day_ahead,87.94,12.68
01/28/2026,75.21,Quasar,76.61,1.40
01/28/2026,84.98,Dodona,76.61,8.37
01/28/2026,78.62,Didyma,76.61,2.01
01/28/2026,87.94,Persistence,76.61,11.33
01/28/2026,53.88,Electricity Maps Model DE_price_day_ahead,76.61,22.73
01/29/2026,45.43,Quasar,63.43,18.00
01/29/2026,82.28,Dodona,63.43,18.85
01/29/2026,77.60,Didyma,63.43,14.17
01/29/2026,76.61,Persistence,63.43,13.18
01/29/2026,53.25,Electricity Maps Model DE_price_day_ahead,63.43,10.18
01/30/2026,39.03,Quasar,52.13,13.10
01/30/2026,64.76,Didyma,52.13,12.63
01/30/2026,70.02,Dodona,52.13,17.89
01/30/2026,63.43,Persistence,52.13,11.30
01/30/2026,56.45,Electricity Maps Model DE_price_day_ahead,52.13,4.32
01/31/2026,63.98,Quasar,49.03,14.95
01/31/2026,57.78,Dodona,49.03,8.75
01/31/2026,51.97,Didyma,49.03,2.94
01/31/2026,52.13,Persistence,49.03,3.10
01/31/2026,41.58,Electricity Maps Model DE_price_day_ahead,49.03,7.45
02/01/2026,61.67,Quasar,68.52,6.85
02/01/2026,69.18,Didyma,68.52,0.66
02/01/2026,49.03,Persistence,68.52,19.49
02/01/2026,50.58,Dodona,68.52,17.94
02/01/2026,39.53,Electricity Maps Model DE_price_day_ahead,68.52,28.99
