Date,Forecasted value,Pseudonym,Actual value,Absolute Error
2025-11-02 9:15:12,100.72,Didyma,130.05,29.33
2025-11-02 9:15:10,82.82,Dodona,130.05,47.23
2025-11-02 9:15:09,82.65,Persistence,130.05,47.40
2025-11-02 10:55:44,nan,Forecast Hi-Lo Spread DAA DE-LU,130.05,
2025-11-03 9:15:12,89.94,Dodona,168.03,78.10
2025-11-03 9:15:10,97.22,Persistence,168.03,70.81
2025-11-03 9:15:14,96.73,Didyma,168.03,71.30
2025-11-03 10:55:44,nan,Forecast Hi-Lo Spread DAA DE-LU,168.03,
2025-11-04 9:15:20,132.63,Dodona,116.14,16.49
2025-11-04 9:15:18,168.03,Persistence,116.14,51.89
2025-11-04 9:15:22,119.50,Didyma,116.14,3.36
2025-11-04 10:56:15,nan,Forecast Hi-Lo Spread DAA DE-LU,116.14,
2025-11-05 9:15:15,142.09,Dodona,97.85,44.24
2025-11-05 9:15:18,138.85,Didyma,97.85,41.00
2025-11-05 9:15:12,116.14,Persistence,97.85,18.29
2025-11-05 10:56:00,nan,Forecast Hi-Lo Spread DAA DE-LU,97.85,
2025-11-06 9:15:15,107.00,Dodona,138.81,31.81
2025-11-06 9:15:13,97.85,Persistence,138.81,40.96
2025-11-06 9:15:17,95.60,Didyma,138.81,43.21
2025-11-06 10:56:17,nan,Forecast Hi-Lo Spread DAA DE-LU,138.81,
2025-11-07 9:15:19,118.33,Dodona,56.68,61.65
2025-11-07 9:15:15,138.81,Persistence,56.68,82.13
2025-11-07 9:15:20,106.55,Didyma,56.68,49.87
2025-11-07 10:55:59,nan,Forecast Hi-Lo Spread DAA DE-LU,56.68,
2025-11-08 9:15:17,56.68,Persistence,116.14,59.46
2025-11-08 9:15:19,97.75,Dodona,116.14,18.39
2025-11-08 9:15:21,92.71,Didyma,116.14,23.43
2025-11-08 10:56:01,nan,Forecast Hi-Lo Spread DAA DE-LU,116.14,
2025-11-09 9:15:12,86.41,Dodona,100.69,14.28
2025-11-09 9:15:10,116.14,Persistence,100.69,15.45
2025-11-09 9:15:13,90.01,Didyma,100.69,10.68
2025-11-09 10:55:51,nan,Forecast Hi-Lo Spread DAA DE-LU,100.69,
2025-11-10 9:15:15,91.35,Persistence,83.18,8.17
2025-11-10 9:15:17,103.75,Dodona,83.18,20.57
2025-11-10 9:15:20,125.17,Didyma,83.18,41.99
2025-11-10 10:55:55,nan,Forecast Hi-Lo Spread DAA DE-LU,83.18,
2025-11-11 9:15:07,83.18,Persistence,96.16,12.98
2025-11-11 9:15:11,87.27,Dodona,96.16,8.89
2025-11-11 9:15:12,96.89,Didyma,96.16,0.73
2025-11-11 10:55:52,nan,Forecast Hi-Lo Spread DAA DE-LU,96.16,
2025-11-12 9:15:10,83.51,Persistence,136.92,53.41
2025-11-12 9:15:13,88.18,Didyma,136.92,48.74
2025-11-12 9:15:12,83.35,Dodona,136.92,53.57
2025-11-12 10:56:10,nan,Forecast Hi-Lo Spread DAA DE-LU,136.92,
2025-11-13 9:15:14,136.92,Persistence,67.6,69.32
2025-11-13 9:15:15,110.22,Dodona,67.6,42.62
2025-11-13 9:15:19,119.75,Didyma,67.6,52.15
2025-11-13 10:56:18,nan,Forecast Hi-Lo Spread DAA DE-LU,67.6,
2025-11-14 9:15:12,67.60,Persistence,71.24,3.64
2025-11-14 9:15:15,87.07,Didyma,71.24,15.83
2025-11-14 9:15:14,102.26,Dodona,71.24,31.02
2025-11-14 10:55:53,nan,Forecast Hi-Lo Spread DAA DE-LU,71.24,
2025-11-15 9:15:11,69.42,Dodona,53.53,15.89
2025-11-15 9:15:09,71.24,Persistence,53.53,17.71
2025-11-15 9:15:13,84.99,Didyma,53.53,31.46
2025-11-15 10:55:54,nan,Forecast Hi-Lo Spread DAA DE-LU,53.53,
