Date,Forecasted value,Pseudonym,Actual value,Absolute Error
11/29/2025 7:13:50,48.62,oraclegenesis,47.62,1.00
11/29/2025 9:15:11,50.33,Didyma,47.62,2.71
11/29/2025 9:15:08,43.88,Persistence,47.62,3.74
11/29/2025 9:15:10,57.32,Dodona,47.62,9.70
11/29/2025 10:56:06,nan,Forecast Hi-Lo Spread DAA DE-LU,47.62,
11/30/2025 7:13:50,85.36,oraclegenesis,107.56,22.20
11/30/2025 9:15:13,107.18,Didyma,107.56,0.38
11/30/2025 9:15:09,47.62,Persistence,107.56,59.94
11/30/2025 9:15:11,45.75,Dodona,107.56,61.81
11/30/2025 10:55:31,nan,Forecast Hi-Lo Spread DAA DE-LU,107.56,
12/1/2025 7:13:50,83.05,oraclegenesis,132.46,49.41
12/1/2025 9:15:12,155.60,Didyma,132.46,23.14
12/1/2025 9:15:10,77.59,Dodona,132.46,54.87
12/1/2025 9:15:09,107.56,Persistence,132.46,24.90
12/1/2025 10:55:34,nan,Forecast Hi-Lo Spread DAA DE-LU,132.46,
12/2/2025 7:13:50,66.12,oraclegenesis,271.77,205.65
12/2/2025 9:15:17,176.42,Didyma,271.77,95.35
12/2/2025 9:15:15,120.01,Dodona,271.77,151.76
12/2/2025 9:15:14,132.46,Persistence,271.77,139.31
12/2/2025 10:55:46,nan,Forecast Hi-Lo Spread DAA DE-LU,271.77,
12/3/2025 7:13:50,55.89,oraclegenesis,82.02,26.13
12/3/2025 9:15:13,202.12,Dodona,82.02,120.10
12/3/2025 9:15:11,271.77,Persistence,82.02,189.75
12/3/2025 9:15:16,161.63,Didyma,82.02,79.61
12/3/2025 11:15:16,196.43,LLM Spreadbot v1,82.02,114.41
12/4/2025 0:00:00,202.12,Forecast Masher 25,127.46,74.66
12/4/2025 0:00:00,54.78,oraclegenesis,127.46,72.68
12/4/2025 0:00:00,141.51,Didyma,127.46,14.05
12/4/2025 0:00:00,82.02,Persistence,127.46,45.44
12/4/2025 0:00:00,176.90,Dodona,127.46,49.44
12/4/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,127.46,
12/4/2025 0:00:00,211.31,LLM Spreadbot v1,127.46,83.85
12/5/2025 0:00:00,206.77,Forecast Masher 25,42.96,163.81
12/5/2025 0:00:00,34.12,oraclegenesis,42.96,8.84
12/5/2025 0:00:00,104.74,Dodona,42.96,61.78
12/5/2025 0:00:00,84.45,Didyma,42.96,41.49
12/5/2025 0:00:00,127.46,Persistence,42.96,84.50
12/5/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,42.96,
12/5/2025 0:00:00,185.93,LLM Spreadbot v1,42.96,142.97
12/06/2025,210.26,LLM Spreadbot v1,91.24,119.02
12/06/2025,202.12,Forecast Masher 25,91.24,110.88
12/06/2025,46.51,oraclegenesis,91.24,44.73
12/06/2025,85.21,Dodona,91.24,6.03
12/06/2025,42.96,Persistence,91.24,48.28
12/06/2025,72.68,Didyma,91.24,18.56
12/06/2025,nan,Forecast Hi-Lo Spread DAA DE-LU,91.24,
12/07/2025,129.92,Forecast Masher 25,107.45,22.47
12/07/2025,189.93,LLM Spreadbot v1,107.45,82.48
12/07/2025,101.09,oraclegenesis,107.45,6.36
12/7/2025 0:00:00,67.10,Dodona,107.45,40.35
12/7/2025 0:00:00,80.59,Didyma,107.45,26.86
12/7/2025 0:00:00,91.24,Persistence,107.45,16.21
12/7/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,107.45,
12/8/2025 0:00:00,215.49,Forecast Masher 25,92.67,122.82
12/8/2025 0:00:00,202.93,LLM Spreadbot v1,92.67,110.26
12/8/2025 0:00:00,83.85,oraclegenesis,92.67,8.82
12/8/2025 0:00:00,99.35,Dodona,92.67,6.68
12/8/2025 0:00:00,110.38,Didyma,92.67,17.71
12/8/2025 0:00:00,107.45,Persistence,92.67,14.78
12/8/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,92.67,
12/9/2025 0:00:00,202.12,Forecast Masher 25,84.85,117.27
12/9/2025 0:00:00,132.46,LLM Spreadbot v1,84.85,47.61
12/9/2025 0:00:00,83.05,oraclegenesis,84.85,1.80
12/9/2025 0:00:00,157.30,Didyma,84.85,72.45
12/9/2025 0:00:00,92.67,Persistence,84.85,7.82
12/9/2025 0:00:00,100.06,Dodona,84.85,15.21
12/9/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,84.85,
12/10/2025 0:00:00,155.89,Forecast Masher 25,55.57,100.32
12/10/2025 0:00:00,198.93,LLM Spreadbot v1,55.57,143.36
12/10/2025 0:00:00,80.99,oraclegenesis,55.57,25.42
12/10/2025 0:00:00,84.85,Persistence,55.57,29.28
12/10/2025 0:00:00,86.51,Didyma,55.57,30.94
12/10/2025 0:00:00,88.76,Dodona,55.57,33.19
12/10/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,55.57,
12/11/2025 0:00:00,233.90,Forecast Masher 25,81.87,152.03
12/11/2025 0:00:00,197.93,LLM Spreadbot v1,81.87,116.06
12/11/2025 0:00:00,50.65,oraclegenesis,81.87,31.22
12/11/2025 0:00:00,70.21,Dodona,81.87,11.66
12/11/2025 0:00:00,89.29,Didyma,81.87,7.42
12/11/2025 0:00:00,55.57,Persistence,81.87,26.30
12/11/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,81.87,
12/12/2025 0:00:00,198.67,Forecast Masher 25,53.5,145.17
12/12/2025 0:00:00,205.26,LLM Spreadbot v1,53.5,151.76
12/12/2025 0:00:00,50.84,oraclegenesis,53.5,2.66
12/12/2025 0:00:00,68.72,Dodona,53.5,15.22
12/12/2025 0:00:00,81.87,Persistence,53.5,28.37
12/12/2025 0:00:00,60.13,Didyma,53.5,6.63
12/12/2025 0:00:00,nan,Forecast Hi-Lo Spread DAA DE-LU,53.5,
