Date,Forecasted value,Pseudonym,Actual value,Absolute Error
2025-11-11 9:15:07,95.81,Persistence,96.16,0.35
2025-11-11 9:15:11,98.25,Dodona,96.16,2.09
2025-11-11 9:15:12,104.21,Didyma,96.16,8.05
2025-11-11 10:55:52,nan,Forecast Hi-Lo Spread DAA DE-LU,96.16,
2025-11-12 9:15:10,96.16,Persistence,136.92,40.76
2025-11-12 9:15:13,96.61,Didyma,136.92,40.31
2025-11-12 9:15:12,95.99,Dodona,136.92,40.93
2025-11-12 10:56:10,nan,Forecast Hi-Lo Spread DAA DE-LU,136.92,
2025-11-13 9:15:14,136.92,Persistence,95.85,41.07
2025-11-13 9:15:15,116.54,Dodona,95.85,20.69
2025-11-13 9:15:19,123.96,Didyma,95.85,28.11
2025-11-13 10:56:18,nan,Forecast Hi-Lo Spread DAA DE-LU,95.85,
2025-11-14 9:15:12,95.85,Persistence,71.24,24.61
2025-11-14 9:15:15,96.48,Didyma,71.24,25.24
2025-11-14 9:15:14,116.39,Dodona,71.24,45.15
2025-11-14 10:55:53,nan,Forecast Hi-Lo Spread DAA DE-LU,71.24,
2025-11-15 9:15:11,83.55,Dodona,60.65,22.90
2025-11-15 9:15:09,71.24,Persistence,60.65,10.59
2025-11-15 9:15:13,72.17,Didyma,60.65,11.52
2025-11-15 10:55:54,nan,Forecast Hi-Lo Spread DAA DE-LU,60.65,
2025-11-16 9:15:14,65.95,Dodona,59.48,6.47
2025-11-16 9:15:15,77.53,Didyma,59.48,18.05
2025-11-16 9:15:12,60.65,Persistence,59.48,1.17
2025-11-16 10:55:45,nan,Forecast Hi-Lo Spread DAA DE-LU,59.48,
2025-11-17 9:15:13,60.07,Dodona,87.79,27.72
2025-11-17 9:15:15,71.98,Didyma,87.79,15.81
2025-11-17 9:15:12,59.48,Persistence,87.79,28.31
2025-11-17 10:56:06,nan,Forecast Hi-Lo Spread DAA DE-LU,87.79,
2025-11-18 9:15:11,81.14,Didyma,75.68,5.46
2025-11-18 9:15:08,87.79,Persistence,75.68,12.11
2025-11-18 9:15:09,73.64,Dodona,75.68,2.04
2025-11-18 10:56:07,nan,Forecast Hi-Lo Spread DAA DE-LU,75.68,
2025-11-19 9:15:17,100.13,Didyma,112.46,12.33
2025-11-19 9:15:15,81.74,Dodona,112.46,30.72
2025-11-19 9:15:13,75.68,Persistence,112.46,36.78
2025-11-19 10:56:03,nan,Forecast Hi-Lo Spread DAA DE-LU,112.46,
2025-11-20 9:15:07,112.46,Persistence,227.21,114.75
2025-11-20 9:15:10,94.66,Didyma,227.21,132.55
2025-11-20 9:15:09,94.07,Dodona,227.21,133.14
2025-11-20 10:56:10,nan,Forecast Hi-Lo Spread DAA DE-LU,227.21,
2025-11-21 9:15:11,227.21,Persistence,51.48,175.73
2025-11-21 9:15:13,169.84,Dodona,51.48,118.36
2025-11-21 9:15:14,136.97,Didyma,51.48,85.49
2025-11-21 10:56:08,nan,Forecast Hi-Lo Spread DAA DE-LU,51.48,
2025-11-22 9:15:08,51.48,Persistence,36.35,15.13
2025-11-22 9:15:11,113.11,Didyma,36.35,76.76
2025-11-22 9:15:10,139.35,Dodona,36.35,103.00
2025-11-22 10:55:42,nan,Forecast Hi-Lo Spread DAA DE-LU,36.35,
2025-11-23 9:15:10,36.35,Persistence,230.04,193.69
2025-11-23 9:15:15,43.92,Dodona,230.04,186.12
2025-11-23 9:15:17,49.10,Didyma,230.04,180.94
2025-11-23 10:55:50,nan,Forecast Hi-Lo Spread DAA DE-LU,230.04,
2025-11-24 7:13:50,76.22,oraclegenesis,311.63,235.41
2025-11-24 9:15:08,133.20,Dodona,311.63,178.43
2025-11-24 9:15:07,230.04,Persistence,311.63,81.59
2025-11-24 9:15:10,118.06,Didyma,311.63,193.57
2025-11-24 10:55:53,nan,Forecast Hi-Lo Spread DAA DE-LU,311.63,
